,num_edges,time
0,7000082.0,1.4631930549999765
1,14000164.0,2.7763099880000084
2,21000246.0,4.158226557000006
3,28000328.0,5.520216306999998
4,35000410.0,6.9433857260000025
5,42000492.0,8.205439608999995
6,49000574.0,9.539187115000004
7,56000656.0,10.724785370999996
8,63000738.0,12.110870127999988
9,70000820.0,13.341469894999989
10,77000902.0,14.878710257999984
11,84000984.0,16.239193904000018
12,91001066.0,17.517067407000013
13,98001148.0,18.80458812300003
14,105001230.0,20.27912643100001
15,112001312.0,21.698948078
16,119001394.0,22.947338562000027
17,126001476.0,24.14510894900002
18,133001558.0,25.370065452999995
19,140001640.0,26.582593498999984
